实体,关系,实体
光学与电子信息学院,可从事职业,光学工程师
光学与电子信息学院,可从事职业,电子工程师
光学与电子信息学院,可从事职业,集成电路设计工程师
光学与电子信息学院,可从事职业,软件/硬件工程师
光学与电子信息学院,开设课程,微积分
光学与电子信息学院,开设课程,电路理论
光学与电子信息学院,开设课程,模拟电子技术
光学与电子信息学院,开设课程,数字电路与逻辑设计
光学与电子信息学院,开设课程,单片机原理及应用
光学与电子信息学院,开设课程,电动力学
光学与电子信息学院,开设课程,量子力学
光学与电子信息学院,开设课程,热力学与统计物理
光学与电子信息学院,开设课程,物理光学
光学与电子信息学院,开设课程,应用光学
光学与电子信息学院,开设课程,激光原理与技术
光学与电子信息学院,开设课程,光纤光学
光学与电子信息学院,开设课程,光纤通信技术
光学与电子信息学院,开设课程,光电探测与信号处理
光学与电子信息学院,开设课程,C语言程序设计
光学与电子信息学院,开设课程,信号与线性系统
光学与电子信息学院,开设专业,光电信息科学与工程
光学与电子信息学院,简称,光电信息学院
光学与电子信息学院,拥有,下一代互联网接入系统国家工程研究中心
光学与电子信息学院,拥有,激光加工国家工程研究中心
光学与电子信息学院,拥有,与华为等重点企业校企联合实验室
光学与电子信息学院,拥有科研成果,发表于Science、Nature等期刊。
光学与电子信息学院,联合培养,英国南安普顿大学
光学与电子信息学院,联合培养,法国巴黎萨克雷大学
光学与电子信息学院,联合培养,美国东北大学
光学与电子信息学院,毕业生深造率,超过75%
光学与电子信息学院,研究生就业率,100%
光学与电子信息学院,建设,光学工程
光学工程,光学工程软科中国排名,第一
光学工程,入选,国家首轮和第二轮“双一流”建设学科
光学与电子信息学院,教育理念,基于课程、面向群体、强化数理、突出实践、项目驱动、协同育人
