头实体,关系,尾实体
光学与电子信息学院,依托,武汉光电国家研究中心
光学与电子信息学院,拥有,下一代互联网接入系统国家工程研究中心
光学与电子信息学院,拥有,激光加工国家工程研究中心
光学与电子信息学院,共建校企联合实验室,华为
光学与电子信息学院,联合培养,英国南安普顿大学
光学与电子信息学院,联合培养,法国巴黎萨克雷大学
光学与电子信息学院,联合培养,美国东北大学
光学与电子信息学院,建设,光学工程学科
光学工程学科,排名,软科中国最好学科第一
光学工程学科,入选,国家双一流建设学科
光电信息科学与工程专业,培养目标,光电子领域领军型人才
光电子技术,是,多学科综合技术
光电子技术,涉及,光信息的辐射传输探测
光电子技术,涉及,光电信息的转换存储处理显示
光纤通信系统,承载,全球90%通信容量
工业光纤激光器,应用于,汽车制造
工业光纤激光器,应用于,半导体制造
工业光纤激光器,应用于,电子制造
工业光纤激光器,应用于,航空航天
光电信息科学与工程专业,开设课程,激光原理与技术
光电信息科学与工程专业,开设课程,光纤通信技术
光电信息科学与工程专业,开设课程,光电探测与信号处理
光电信息学院毕业生,可从事职业,光学工程师
光电信息学院毕业生,可从事职业,集成电路设计工程师
