头实体,关系,尾实体,来源文件
光学与电子信息学院,依托,武汉光电国家研究中心,光学与电子信息学院.txt
光学与电子信息学院,拥有,下一代互联网接入系统国家工程研究中心,光学与电子信息学院.txt
光学与电子信息学院,拥有,激光加工国家工程研究中心,光学与电子信息学院.txt
光学与电子信息学院,共建实验室,华为,光学与电子信息学院.txt
光学与电子信息学院,联合培养,英国南安普顿大学,光学与电子信息学院.txt
光学与电子信息学院,联合培养,法国巴黎萨克雷大学,光学与电子信息学院.txt
光学与电子信息学院,联合培养,美国东北大学,光学与电子信息学院.txt
光学与电子信息学院,开设专业,电子信息类（光电信息学院,光学与电子信息学院.txt
光学与电子信息学院,开设专业,电子信息类（启明实验班,光学与电子信息学院.txt
光学与电子信息学院,开设专业,电子信息类（启明光电信息本硕博实验班,光学与电子信息学院.txt
光学与电子信息学院,建设学科,光学工程,光学与电子信息学院.txt
光学工程,排名,软科中国最好学科光学工程排名第一,光学与电子信息学院.txt
光学工程,入选,国家首轮“双一流”建设学科,光学与电子信息学院.txt
光学工程,入选,国家第二轮“双一流”建设学科,光学与电子信息学院.txt
光学与电子信息学院,获批,教育部“面向群体创新人才互动式培养实验区,光学与电子信息学院.txt
光学与电子信息学院,设立,教育教学改革特别试验区,光学与电子信息学院.txt
光学与电子信息学院,获评,高等教育国家级教学成果一等奖,光学与电子信息学院.txt
光学与电子信息学院,荣获,全国教育系统先进集体称号,光学与电子信息学院.txt
光电信息科学与工程,培养目标,领军型人才,光学与电子信息学院.txt
光电信息科学与工程,涉及领域,光电子技术,光学与电子信息学院.txt
光电信息科学与工程,涉及领域,光信息学,光学与电子信息学院.txt
光电信息科学与工程,涉及领域,电子学与通信,光学与电子信息学院.txt
光电信息科学与工程,涉及领域,计算机,光学与电子信息学院.txt
光电信息科学与工程,开设课程,微积分,光学与电子信息学院.txt
光电信息科学与工程,开设课程,电路理论,光学与电子信息学院.txt
光电信息科学与工程,开设课程,模拟电子技术,光学与电子信息学院.txt
光电信息科学与工程,开设课程,数字电路与逻辑设计,光学与电子信息学院.txt
光电信息科学与工程,开设课程,单片机原理及应用,光学与电子信息学院.txt
光电信息科学与工程,开设课程,电动力学,光学与电子信息学院.txt
光电信息科学与工程,开设课程,量子力学,光学与电子信息学院.txt
光电信息科学与工程,开设课程,热力学与统计物理,光学与电子信息学院.txt
光电信息科学与工程,开设课程,物理光学,光学与电子信息学院.txt
光电信息科学与工程,开设课程,应用光学,光学与电子信息学院.txt
光电信息科学与工程,开设课程,激光原理与技术,光学与电子信息学院.txt
光电信息科学与工程,开设课程,光纤光学,光学与电子信息学院.txt
光电信息科学与工程,开设课程,光纤通信技术,光学与电子信息学院.txt
光电信息科学与工程,开设课程,光电探测与信号处理,光学与电子信息学院.txt
光电信息科学与工程,开设课程,C语言程序设计,光学与电子信息学院.txt
光电信息科学与工程,开设课程,信号与线性系统,光学与电子信息学院.txt
光电信息科学与工程,职业方向,光学工程师,光学与电子信息学院.txt
光电信息科学与工程,职业方向,电子工程师,光学与电子信息学院.txt
光电信息科学与工程,职业方向,集成电路设计工程师,光学与电子信息学院.txt
光电信息科学与工程,职业方向,软件/硬件工程师,光学与电子信息学院.txt
