头实体,关系,尾实体,来源文件
主语,谓语,宾语,光学与电子信息学院.txt
光学与电子信息学院,依托,武汉光电国家研究中心,光学与电子信息学院.txt
光学与电子信息学院,拥有,下一代互联网接入系统国家工程研究中心,光学与电子信息学院.txt
光学与电子信息学院,拥有,激光加工国家工程研究中心,光学与电子信息学院.txt
光学与电子信息学院,共建校企联合实验室,华为,光学与电子信息学院.txt
光学与电子信息学院,联合培养,英国南安普顿大学,光学与电子信息学院.txt
光学与电子信息学院,联合培养,法国巴黎萨克雷大学,光学与电子信息学院.txt
光学与电子信息学院,联合培养,美国东北大学,光学与电子信息学院.txt
光学与电子信息学院,建设,光学工程学科,光学与电子信息学院.txt
光学工程学科,排名,软科中国最好学科第一,光学与电子信息学院.txt
光学工程学科,入选,国家双一流建设学科,光学与电子信息学院.txt
光电信息科学与工程专业,培养目标,光电子领域领军型人才,光学与电子信息学院.txt
光电子技术,是,多学科综合技术,光学与电子信息学院.txt
光电子技术,涉及,光信息的辐射传输探测,光学与电子信息学院.txt
光电子技术,涉及,光电信息的转换存储处理显示,光学与电子信息学院.txt
光纤通信系统,承载,全球90%通信容量,光学与电子信息学院.txt
工业光纤激光器,应用于,汽车制造,光学与电子信息学院.txt
工业光纤激光器,应用于,半导体制造,光学与电子信息学院.txt
工业光纤激光器,应用于,电子制造,光学与电子信息学院.txt
工业光纤激光器,应用于,航空航天,光学与电子信息学院.txt
光电信息科学与工程专业,开设课程,激光原理与技术,光学与电子信息学院.txt
光电信息科学与工程专业,开设课程,光纤通信技术,光学与电子信息学院.txt
光电信息科学与工程专业,开设课程,光电探测与信号处理,光学与电子信息学院.txt
光电信息学院毕业生,可从事职业,光学工程师,光学与电子信息学院.txt
光电信息学院毕业生,可从事职业,集成电路设计工程师,光学与电子信息学院.txt
主语,谓语,宾语,公共卫生学院.txt
华中科技大学同济医学院公共卫生学院,是,全国最早建立的六个卫生系之一,公共卫生学院.txt
华中科技大学同济医学院公共卫生学院,入选,"教育部""双一流""建设学科",公共卫生学院.txt
华中科技大学同济医学院公共卫生学院,是,全国首批高水平公共卫生学院建设单位,公共卫生学院.txt
预防医学专业,是,国家级一流本科专业,公共卫生学院.txt
华中科技大学同济医学院公共卫生学院,拥有,国家级预防医学实验教学示范中心,公共卫生学院.txt
华中科技大学同济医学院公共卫生学院,与,美国哈佛大学,公共卫生学院.txt
华中科技大学同济医学院公共卫生学院,与,英国牛津大学,公共卫生学院.txt
华中科技大学同济医学院公共卫生学院,与,德国海德堡大学,公共卫生学院.txt
华中科技大学同济医学院公共卫生学院,与,瑞典卡罗林斯卡医学院,公共卫生学院.txt
华中科技大学同济医学院公共卫生学院,拥有,中国工程院院士1名,公共卫生学院.txt
华中科技大学同济医学院公共卫生学院,拥有,教授、副教授/研究员70余人,公共卫生学院.txt
华中科技大学同济医学院公共卫生学院,拥有,省部共建国家重点实验室培育基地,公共卫生学院.txt
华中科技大学同济医学院公共卫生学院,拥有,3个省部级重点实验室,公共卫生学院.txt
华中科技大学同济医学院公共卫生学院,与,英国布里斯托大学,公共卫生学院.txt
华中科技大学同济医学院公共卫生学院,与,美国布朗大学,公共卫生学院.txt
邬堂春,是,中国工程院院士,公共卫生学院.txt
邬堂春,毕业于,华中科技大学同济医学院公共卫生学院,公共卫生学院.txt
胡丙长,是,美国医学科学院院士,公共卫生学院.txt
胡丙长,毕业于,华中科技大学同济医学院公共卫生学院,公共卫生学院.txt
明国莉,是,美国医学科学院院士,公共卫生学院.txt
明国莉,毕业于,华中科技大学同济医学院公共卫生学院,公共卫生学院.txt
预防医学(启明本硕博实验班),培养,创新型、研究型、复合型高层次领军人才,公共卫生学院.txt
预防医学(五年制),是,湖北省高等学校首批本科品牌专业,公共卫生学院.txt
预防医学(五年制),是,教育部第二批高校特色专业建设点,公共卫生学院.txt
主语,谓语,宾语,公共管理学院.txt
